venue.id,venue.name,venue.id,venue.location.lat,venue.location.lng
44142dc1f964a520ec301fe3,Volunteer Park,44142dc1f964a520ec301fe3,47.62998756883546,-122.31548304965403
441483eff964a520f1301fe3,Cal Anderson Park,441483eff964a520f1301fe3,47.617433123868686,-122.31916799089907
4558a938f964a520493d1fe3,Kerry Park,4558a938f964a520493d1fe3,47.62948099401784,-122.35989162643655
430bb880f964a5203a271fe3,Gas Works Park,430bb880f964a5203a271fe3,47.64574721415181,-122.33562530171454
4be9c56d61aca59369f68200,Lake Union Park,4be9c56d61aca59369f68200,47.62668985910958,-122.33750961057686
444eabf8f964a52093321fe3,Myrtle Edwards Park,444eabf8f964a52093321fe3,47.6191188961201,-122.35999927289357
430bb880f964a52039271fe3,Discovery Park,430bb880f964a52039271fe3,47.65817329174455,-122.41026101941712
490d85a7f964a52063521fe3,Luther Burbank Park,490d85a7f964a52063521fe3,47.590961064556126,-122.22606004769257
4a7f26dff964a5200df31fe3,Dr. Jose Rizal Park,4a7f26dff964a5200df31fe3,47.59277912109141,-122.31833338737486
488db78ff964a52055511fe3,Bellevue Downtown Park,488db78ff964a52055511fe3,47.61286025107819,-122.20380496096878
49f52ce5f964a520a56b1fe3,Centennial Park,49f52ce5f964a520a56b1fe3,47.62465370284115,-122.36867401246097
42951180f964a52040241fe3,Lincoln Park,42951180f964a52040241fe3,47.529425108116584,-122.39329509819414
451ab6a7f964a520673a1fe3,Westcrest Park,451ab6a7f964a520673a1fe3,47.523844787207004,-122.34153985977173
42c1e480f964a520c5251fe3,Green Lake Park,42c1e480f964a520c5251fe3,47.68044866290678,-122.3326198276763
4a40589bf964a52085a41fe3,Victor Steinbrueck Park,4a40589bf964a52085a41fe3,47.610257606928414,-122.34365983611289
4310fe80f964a52053271fe3,Alki Beach Park,4310fe80f964a52053271fe3,47.57961056153146,-122.40927327481498
4a02abc3f964a52063711fe3,Occidental Square,4a02abc3f964a52063711fe3,47.60107551122758,-122.33378655295799
463fd072f964a52051461fe3,Gene Coulon Park,463fd072f964a52051461fe3,47.50660166897992,-122.20196627795137
4a6511f4f964a52043c71fe3,Jefferson Park,4a6511f4f964a52043c71fe3,47.5674053858961,-122.3103618621826
49f51bbff964a520936b1fe3,Marshall Park,49f51bbff964a520936b1fe3,47.6296632667877,-122.36675964681625
4a901550f964a520f61520e3,Interlaken Park,4a901550f964a520f61520e3,47.63534981724853,-122.30737924575804
42e18880f964a52066261fe3,Seattle Center,42e18880f964a52066261fe3,47.622190306287365,-122.35147476196289
4b6de85cf964a520e09a2ce3,Luna Park,4b6de85cf964a520e09a2ce3,47.595091770853315,-122.38745935027676
4bb3731c715eef3bf45286bb,Olympic Sculpture Park Pocket Beach,4bb3731c715eef3bf45286bb,47.61709400264109,-122.35804672123568
4f9ee1aae4b0a3d1de167365,Myrtle Edwards Running Trail,4f9ee1aae4b0a3d1de167365,47.61809091206324,-122.3518805256003
439158cdf964a520572b1fe3,Marymoor Park,439158cdf964a520572b1fe3,47.66265318016147,-122.1180500689696
4f4c8f67e4b023d6755ef554,Burke-Gilman Trail,4f4c8f67e4b023d6755ef554,47.65558855921406,-122.32059842467089
4b44f66df964a5206b0026e3,Fremont Peak Park,4b44f66df964a5206b0026e3,47.661102967568425,-122.35675150915488
4c374b2918e72d7f053916f5,Fremont Canal Park,4c374b2918e72d7f053916f5,47.65292603885009,-122.35570906876117
4c35145e7cc0c9b61f79f49a,Magnolia Bluff,4c35145e7cc0c9b61f79f49a,47.641251475289394,-122.41560831201824
43eb42adf964a520332f1fe3,Seward Park,43eb42adf964a520332f1fe3,47.550206931134966,-122.25733181932064
4a04fd62f964a52045721fe3,Woodland Park,4a04fd62f964a52045721fe3,47.67194521174647,-122.34926894131739
4a4ad190f964a52037ac1fe3,Louisa Boren Lookout,4a4ad190f964a52037ac1fe3,47.634539407812554,-122.31253310556033
4a932030f964a520de1e20e3,I-5 Colonnade,4a932030f964a520de1e20e3,47.635622423718104,-122.32359692102466
4bb548a5941ad13aa2101ee3,Ross Park,4bb548a5941ad13aa2101ee3,47.66016803162098,-122.36111194272625
4b17f361f964a52016ca23e3,Hamilton Viewpoint Park,4b17f361f964a52016ca23e3,47.592875584108235,-122.38529855219369
4bf49ac094af2d7f1adc3a72,Madrona Park,4bf49ac094af2d7f1adc3a72,47.60988099626664,-122.28278875350952
4a74aee6f964a5202edf1fe3,Leschi Park,4a74aee6f964a5202edf1fe3,47.60143295516684,-122.28569579803232
4a190326f964a5200b7a1fe3,Ravenna Park,4a190326f964a5200b7a1fe3,47.67082059945155,-122.30401039123535
440da9b6f964a52095301fe3,Warren G. Magnuson Park,440da9b6f964a52095301fe3,47.680998829361336,-122.25848304392021
4a75e84bf964a5209be11fe3,Sunset Hill Park,4a75e84bf964a5209be11fe3,47.68381618268326,-122.40063428878783
4b19b763f964a520a4e223e3,Maple Leaf Park,4b19b763f964a520a4e223e3,47.69011316572095,-122.31644223958897
49f520dcf964a5209b6b1fe3,Kinnear Park,49f520dcf964a5209b6b1fe3,47.627419702288975,-122.36503846223812
4b81b017f964a520edb730e3,Aubrey Davis Park,4b81b017f964a520edb730e3,47.59216667631705,-122.24438761210979
4c36ad4d1e06d13afab8743e,Madrona Playground,4c36ad4d1e06d13afab8743e,47.61104374626671,-122.29007898839347
4a9c9435f964a520983720e3,Houghton Beach Park,4a9c9435f964a520983720e3,47.66019923733621,-122.20685005187988
4b985a0ff964a520673d35e3,Green Lake Loop,4b985a0ff964a520673d35e3,47.68066602728803,-122.33453996244677
4dceff86d4c065592f8dfadd,UW: Rainier Vista,4dceff86d4c065592f8dfadd,47.65244289457096,-122.30600453522311
4a02aa29f964a52060711fe3,Pioneer Square,4a02aa29f964a52060711fe3,47.601976647403845,-122.33389589387261
4bb3f01d9af3b71300cb8b28,Constellation Park,4bb3f01d9af3b71300cb8b28,47.57376642780386,-122.41594910739812
4b155088f964a520beb023e3,T-Mobile Park,4b155088f964a520beb023e3,47.59077725578357,-122.33300294165383
49ea4f51f964a5204c661fe3,Carkeek Park,49ea4f51f964a5204c661fe3,47.71239128271022,-122.3780129902939
4b639049f964a520ac832ae3,Heritage Park,4b639049f964a520ac832ae3,47.67824450077347,-122.21053732288054
4bbcb9d08a4fb713020f3c9d,Waterfront Park,4bbcb9d08a4fb713020f3c9d,47.6069291389153,-122.34174462950551
4c6df4534d24b60cb69cd7d8,Seven Hills Park,4c6df4534d24b60cb69cd7d8,47.61786763088391,-122.31184353569776
49e77530f964a520a4641fe3,Westlake Park,49e77530f964a520a4641fe3,47.61104967887254,-122.33719678826789
4deea58ae4cdef4ed2c50062,Green Lake Neighborhood,4deea58ae4cdef4ed2c50062,47.678740821355234,-122.3279871705964
49ed7b0af964a520ec671fe3,Kelsey Creek Park,49ed7b0af964a520ec671fe3,47.60488239767633,-122.1661984497623
4a6e5ac0f964a5208fd41fe3,Cowen Park,4a6e5ac0f964a5208fd41fe3,47.67208537645008,-122.31477657433558
4aad7bf9f964a520896020e3,Medina Park,4aad7bf9f964a520896020e3,47.620749322652486,-122.23052797144797
4bc77bc392b376b0ffcd4f3a,View Ridge Area,4bc77bc392b376b0ffcd4f3a,47.67951649270066,-122.27165378219081
4a614619f964a52038c21fe3,Bothell Landing,4a614619f964a52038c21fe3,47.758207721399906,-122.20857891918814
475f1cc0f964a520dc4c1fe3,Matthews Beach Park,475f1cc0f964a520dc4c1fe3,47.69655245150628,-122.27325575137968
45b348a3f964a520a9411fe3,Olympic Sculpture Park,45b348a3f964a520a9411fe3,47.61636542390172,-122.35478134122522
4bddd5b80ee3a593c5d62eb0,Madison Park,4bddd5b80ee3a593c5d62eb0,47.63546187577772,-122.27730631828308
4faeb986e4b08260e402854a,The Harbor Steps,4faeb986e4b08260e402854a,47.606852466411496,-122.3387632132612
4700f840f964a520364b1fe3,Juanita Beach Park,4700f840f964a520364b1fe3,47.70470779545952,-122.21530437469482
4b68cf65f964a520218e2be3,North Rose Hill Woodlands Park,4b68cf65f964a520218e2be3,47.68749035663648,-122.17522249758692
4b76dec5f964a520c9652ee3,Robinswood Park,4b76dec5f964a520c9652ee3,47.59034754915111,-122.14051585485258
49da95bcf964a520955e1fe3,Jim Ellis Freeway Park,49da95bcf964a520955e1fe3,47.61000059787849,-122.3310700805732
4bcb8d85511f9521c7c0b1c7,Seacrest Park,4bcb8d85511f9521c7c0b1c7,47.589382384824646,-122.38027271314593
4a6264a1f964a520f0c31fe3,Kirkland Marina Park,4a6264a1f964a520f0c31fe3,47.67538639828759,-122.20830917358398
4c07ddb0221620a11578f775,Parsons Gardens,4c07ddb0221620a11578f775,47.629757640387005,-122.36602682807154
4ac23711f964a520399820e3,Bellevue Botanical Garden,4ac23711f964a520399820e3,47.609570105411066,-122.17896212262448
43eb4227f964a520322f1fe3,Golden Gardens Park,43eb4227f964a520322f1fe3,47.69058264501714,-122.40329577588459
4bb423ee643cd13abf7a395c,Juanita Bay Park,4bb423ee643cd13abf7a395c,47.695417800959284,-122.21078333558283
4b0f0bd0f964a5208c5e23e3,Salmon Bay Park,4b0f0bd0f964a5208c5e23e3,47.67918224152669,-122.38126445349697
4b93fb63f964a520d65e34e3,Luther Burbank Dog Park,4b93fb63f964a520d65e34e3,47.59408207045143,-122.2260900216571
49f8c3daf964a5201e6d1fe3,Waterfall Garden Park,49f8c3daf964a5201e6d1fe3,47.6001720804735,-122.33206127298888
4be064a34f15c928eb17cb0b,Hiawatha Playfield,4be064a34f15c928eb17cb0b,47.5777168565091,-122.38390271105862
4b60d287f964a5209bfb29e3,First Hill Park,4b60d287f964a5209bfb29e3,47.61211522062597,-122.32575571254725
4b8ae639f964a520de8732e3,Lower Woodland Athletic Fields & Courts,4b8ae639f964a520de8732e3,47.66769,-122.34184
4a010dc1f964a520d3701fe3,Grass Lawn Park,4a010dc1f964a520d3701fe3,47.66832970520762,-122.14589039325611
4be73e57a117b7138a4681c8,David E Brink Park,4be73e57a117b7138a4681c8,47.670788169408105,-122.20610865423725
4be34a3c21d5a593a1bf1811,Ardmore Park,4be34a3c21d5a593a1bf1811,47.63338081076902,-122.1174423629167
4b8072aef964a520477330e3,Magnuson Park Off-Leash Dog Park,4b8072aef964a520477330e3,47.68600416203646,-122.25426434476088
4b79a623f964a52046082fe3,Mount Baker Park,4b79a623f964a52046082fe3,47.58031814437581,-122.28858232498169
4bb7810c53649c743fc545fb,Waterfront Park,4bb7810c53649c743fc545fb,47.623343205401014,-122.51607840996054
4bafe9b0f964a520132b3ce3,Whale Tail Park,4bafe9b0f964a520132b3ce3,47.579341840888866,-122.40712298142041
4a5fd489f964a5204ec01fe3,View Ridge Playfield,4a5fd489f964a5204ec01fe3,47.6798318401681,-122.28051576863702
4b59ec01f964a52010a128e3,Pioneer Park,4b59ec01f964a52010a128e3,47.54212074763928,-122.22165584564209
4a94d1eff964a520832220e3,Battle Point Park,4a94d1eff964a520832220e3,47.66258767343569,-122.57665307052972
4b120294f964a520288823e3,Rogers Playground,4b120294f964a520288823e3,47.64258510070266,-122.3249479548378
4a0a6465f964a5209c741fe3,Peter Kirk Park,4a0a6465f964a5209c741fe3,47.67784238698113,-122.20204162228065
4b30fdd5f964a520d1fd24e3,Hamlin Park,4b30fdd5f964a520d1fd24e3,47.74522176570873,-122.30803469043462
4e1b8e89887735dda33b2798,Ballard Locks Visitor Center,4e1b8e89887735dda33b2798,47.66657014689458,-122.39672750035935
4dafbe7f0cb6ead7fdd59eb4,High Point Pond Park,4dafbe7f0cb6ead7fdd59eb4,47.54931098410245,-122.37243455730575
4bb4085f643cd13a175d395c,Lewis Creek Park,4bb4085f643cd13a175d395c,47.55296462764606,-122.12561689966273
4b9d5aacf964a52032a636e3,Edwin T Pratt Park,4b9d5aacf964a52032a636e3,47.5995705068377,-122.30983545174797
4c364bb50a71c9b6ece33cc9,Island Crest Park,4c364bb50a71c9b6ece33cc9,47.55113968844851,-122.22167381995652
4a022921f964a52035711fe3,Commodore Park,4a022921f964a52035711fe3,47.66485718354243,-122.39929049940137
4bcba84acc8cd13a86e6bfcf,Ballard Playfield,4bcba84acc8cd13a86e6bfcf,47.67299012328336,-122.39104261234692
49e3ce5bf964a520d8621fe3,Hiram M. Chittenden Locks,49e3ce5bf964a520d8621fe3,47.66576326374903,-122.39722247791317
4b98214cf964a520822e35e3,Ballard High School,4b98214cf964a520822e35e3,47.67701977664608,-122.37496535593321
4b9d77d0f964a520ceae36e3,Wallingford Playfield,4b9d77d0f964a520ceae36e3,47.65890450733264,-122.33710484037101
4fd2dec7e4b098b082132f52,Fremont Canal Steps,4fd2dec7e4b098b082132f52,47.64888488108312,-122.35137515048287
43768200f964a520462a1fe3,Woodland Park Zoo,43768200f964a520462a1fe3,47.668308704764016,-122.35104371125468
4da4d2facda109f02fb106f7,Discovery Park Loop Trail,4da4d2facda109f02fb106f7,47.65145304341185,-122.40544833919778
51495a19f31c774bc99140f5,Golden Gardens Park Waterfront,51495a19f31c774bc99140f5,47.691586954296554,-122.4038082353192
4bae9a66f964a52096c53be3,West Woodland Park Playground,4bae9a66f964a52096c53be3,47.6713412413844,-122.35343476558147
4bbf99804cdfc9b62b8b9121,Ella Bailey Park,4bbf99804cdfc9b62b8b9121,47.640583778456666,-122.39114999771118
4c016796716bc9b6f2cbbb55,Gasworks Park Marina,4c016796716bc9b6f2cbbb55,47.64682705911423,-122.33376688320172
4bd38fe0046076b0db707671,Discovery Park West Pt. Lighthouse,4bd38fe0046076b0db707671,47.66151486025328,-122.43409003404324
40b13b00f964a520dff61ee3,The Park Public House,40b13b00f964a520dff61ee3,47.67360031288768,-122.35420740446686
4c912640ae96a0938509a146,Kirke Park,4c912640ae96a0938509a146,47.68013059275492,-122.36811954119197
4b7c9ea1f964a520229e2fe3,Golden Gardens Off-Leash Dog Park,4b7c9ea1f964a520229e2fe3,47.69102157197945,-122.40045167990198
4c38945f0a71c9b6edd840c9,6th Avenue NW Pocket Park,4c38945f0a71c9b6edd840c9,47.684326623844434,-122.36309802822456
4bf3778de5eba593719f1e90,Sandel Playground,4bf3778de5eba593719f1e90,47.69488768574753,-122.3585557937622
4a5e7af2f964a520a2be1fe3,West Queen Anne Playfield,4a5e7af2f964a520a2be1fe3,47.63564027611314,-122.3606648846323
4b9822f6f964a520df2e35e3,Woodland Park Rose Garden,4b9822f6f964a520df2e35e3,47.665587315280874,-122.3497325892187
4a935487f964a520931f20e3,Trolley Hill Park,4a935487f964a520931f20e3,47.63512158988159,-122.34712777424753
4baeb835f964a520f4d13be3,Magnolia Park,4baeb835f964a520f4d13be3,47.63442973467934,-122.39777093643383
4a16335ff964a520f5781fe3,Meridian Playground,4a16335ff964a520f5781fe3,47.66405785964915,-122.33284950256348
4a5e75c3f964a5209ebe1fe3,David Rodgers Park,4a5e75c3f964a5209ebe1fe3,47.64530454333783,-122.35606750782591
4fc3a7c5e4b0cec932fe0f14,Disco Park Playground,4fc3a7c5e4b0cec932fe0f14,47.65614249558978,-122.40524483458034
4a18b0d3f964a520dc791fe3,Ballard Commons Park,4a18b0d3f964a520dc791fe3,47.670392409325835,-122.3852764649083
4b54ea85f964a520fcd227e3,Woodland Park Off-Leash Area,4b54ea85f964a520fcd227e3,47.67005218032859,-122.34467356794438
4c392a2b93db0f47f60e2392,Carkeek Park Beach,4c392a2b93db0f47f60e2392,47.7124948114037,-122.37889857188631
4a306004f964a52059991fe3,B.F. Day Playfield,4a306004f964a52059991fe3,47.65613798222677,-122.34917879104614
4b2eb6a7f964a52086e524e3,Smith Cove Park,4b2eb6a7f964a52086e524e3,47.63176687176973,-122.38691492176659
49bd9eabf964a5208b541fe3,Second Ascent,49bd9eabf964a5208b541fe3,47.66577199566534,-122.38246477222383
4bafa256f964a52023123ce3,Magnolia Playfield,4bafa256f964a52023123ce3,47.64142553378783,-122.40002865615433
4b6df63af964a520509f2ce3,Licton Springs Park,4b6df63af964a520509f2ce3,47.698426083618585,-122.33918508435578
4ba3ecf5f964a520376e38e3,Magnolia Community Park,4ba3ecf5f964a520376e38e3,47.64152858927089,-122.40043675298595
575467ba498e0f8339028686,28th Ave NW Street End Park,575467ba498e0f8339028686,47.667347,-122.392746
4efb6a7c6da1f7b66490e565,28th Ave Dog Park,4efb6a7c6da1f7b66490e565,47.65145537499227,-122.39260657511593
58a62c97e18e656cc646d02c,Mighty-O Parklet,58a62c97e18e656cc646d02c,47.668336,-122.378856
4abe8bf3f964a520678e20e3,Ballard Corners Park,4abe8bf3f964a520678e20e3,47.67444035425347,-122.37904156975138
5738dbcf498ef89f95c41f25,Blue Heron Rookery,5738dbcf498ef89f95c41f25,47.665604,-122.400826
4cf01fefcc61a35d56c20c9e,Magnolia Manor Park,4cf01fefcc61a35d56c20c9e,47.651862012422974,-122.38827942966893
4e8e8dc59a5297144cae2fc0,North Beach Park,4e8e8dc59a5297144cae2fc0,47.694528948709,-122.38750060973493
5c60af6b82a750002c48d1a6,Gemenskap Park,5c60af6b82a750002c48d1a6,47.672286,-122.373593
4fbabe45e5e870913981d277,Kiwanis Park,4fbabe45e5e870913981d277,47.661846773887945,-122.39994764328002
4b86c9edf964a520719d31e3,Gilman Park Playfield,4b86c9edf964a520719d31e3,47.66729483589208,-122.36958503723145
4b92d88ef964a5200c2134e3,Kiwanis Ravine,4b92d88ef964a5200c2134e3,47.65934873797033,-122.40118451940475
4b8081ecf964a5207f7830e3,Lawton Park,4b8081ecf964a5207f7830e3,47.65188046590045,-122.38824037001781
576f456a498e5cbc59925a85,11th Avenue Street End Park,576f456a498e5cbc59925a85,47.659615,-122.370705
51ef25b2498ec92c598c6290,Discovery Park Tennis Courts,51ef25b2498ec92c598c6290,47.65698872852619,-122.40481023847423
4e41c538483b5377bc140fc1,Sunset Place Park,4e41c538483b5377bc140fc1,47.66552358385096,-122.35969017056965
5057c8d2e4b03b3dbc742419,discover park sans dunes,5057c8d2e4b03b3dbc742419,47.65482821292875,-122.41030687888981
50575c51e4b01f3aa6d8efc8,discovery park radar tower,50575c51e4b01f3aa6d8efc8,47.656443415476666,-122.41277559880591
4ba0364ff964a520de6137e3,Golden Gardens Staircase,4ba0364ff964a520de6137e3,47.690454071768016,-122.40002674480334
536e82c3498e8a0880bddfac,Discovery Park Parade Grounds,536e82c3498e8a0880bddfac,47.656350552396646,-122.41372296879011
4c40c846af052d7f3e587c79,Baker Park on Crown Hill,4c40c846af052d7f3e587c79,47.69013167374294,-122.37466373405262
50e514b1183f5e8c095f0b9e,Baker Park,50e514b1183f5e8c095f0b9e,47.69015026565801,-122.37406969070435
4dc43bb0e4cd169dc62deb04,Discovery Park Emerson Entrance,4dc43bb0e4cd169dc62deb04,47.6507663087872,-122.409142750577
4e5aa1bac65bcd7cbe449bf9,War Garden Public Park,4e5aa1bac65bcd7cbe449bf9,47.66488294192765,-122.35292982054918
59f9fa2c419a9e1a59ae5e34,Accidental Park,59f9fa2c419a9e1a59ae5e34,47.659532,-122.355568
4bd387d7caff9521e830d5f0,West Ewing Mini Park,4bd387d7caff9521e830d5f0,47.65221426971751,-122.36065019288145
4e4ff618d22daf51d27d56d2,North Meadow,4e4ff618d22daf51d27d56d2,47.67190418871632,-122.34936973795826
4ca7296b97c8a1cd0b3877a5,On The Park Gym,4ca7296b97c8a1cd0b3877a5,47.67049146387898,-122.38652053673313
4de0add7e4cd846e408f263a,On The Park Apartments,4de0add7e4cd846e408f263a,47.67065403865209,-122.38652300999492
4b92ef65f964a520562834e3,Whitman Field,4b92ef65f964a520562834e3,47.69723775221023,-122.37953363480538
4bf0ac74b315c9b6da4e93ff,Piper's Creek Watershed,4bf0ac74b315c9b6da4e93ff,47.690408655845815,-122.35949568607286
5203deaa498e9c6a37941037,Woodland Park Shelter #4,5203deaa498e9c6a37941037,47.670191,-122.346248
4c1552bff1e0b71377fa34bc,Thomas C. Wales Park,4c1552bff1e0b71377fa34bc,47.64033076753056,-122.34500527381897
4b95add3f964a52022af34e3,Linden Orchard Park P-Patch,4b95add3f964a52022af34e3,47.6780158859417,-122.34749436378479
5a00cc85d807ee06e34d4642,Library Park,5a00cc85d807ee06e34d4642,47.687969,-122.35502
532db10f498e2836f116240a,Green Lake Small Craft Center,532db10f498e2836f116240a,47.67150881532619,-122.34324269656042
4fad80d2771656f48d589ed5,Blue Ridge Places,4fad80d2771656f48d589ed5,47.70306883221918,-122.38105416297911
53cf1d4e498ec25a643e3c13,Greenlake Trail,53cf1d4e498ec25a643e3c13,47.68149250278079,-122.34173929132332
57281151498ef9c42105ebb9,Troll's Knoll Park,57281151498ef9c42105ebb9,47.65054951837885,-122.34758317257838
4b118a68f964a520dc7e23e3,A. B. Ernst Park,4b118a68f964a520dc7e23e3,47.650227250152184,-122.34875197369446
5011de44e4b0ad6ab1a2b0a0,Grassy Knoll @Green Lake,5011de44e4b0ad6ab1a2b0a0,47.68195734505101,-122.3406724186522
4fad802b771656f48d588a58,Blue Ridge Circle,4fad802b771656f48d588a58,47.70434679476565,-122.38041043281554
4be89774d837c9b65589a506,Thorndyke Park,4be89774d837c9b65589a506,47.63468743377526,-122.38985229452966
4bc3c9c574a9a593151ed5f6,Mayfair Park,4bc3c9c574a9a593151ed5f6,47.643243467901755,-122.35385741959037
4fc7e24ee4b0936e6eedd76e,Wallingford Center Totem Pole,4fc7e24ee4b0936e6eedd76e,47.6613,-122.336
